Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
50,0.1,54.844,0.018233,3.7709,3.7727,12.679,72.533,75.328,1542.6,-0.20625,546.52,0.64062,
50.25,0.1,54.838,0.018236,3.7897,3.7915,12.737,72.511,75.329,1542.8,-0.20611,544.23,0.6409,
50.5,0.1,54.832,0.018238,3.8086,3.8104,12.795,72.489,75.331,1543.1,-0.20596,541.96,0.64118,
50.75,0.1,54.825,0.01824,3.8274,3.8292,12.853,72.467,75.332,1543.4,-0.20582,539.71,0.64146,
51,0.1,54.819,0.018242,3.8462,3.848,12.911,72.445,75.333,1543.6,-0.20568,537.47,0.64173,
51.25,0.1,54.813,0.018244,3.865,3.8669,12.969,72.423,75.335,1543.9,-0.20554,535.24,0.64201,
51.5,0.1,54.806,0.018246,3.8839,3.8857,13.027,72.401,75.336,1544.2,-0.2054,533.03,0.64229,
51.75,0.1,54.8,0.018248,3.9027,3.9045,13.085,72.379,75.337,1544.4,-0.20526,530.84,0.64256,
52,0.1,54.793,0.01825,3.9216,3.9234,13.143,72.357,75.339,1544.7,-0.20512,528.66,0.64283,
52.25,0.1,54.787,0.018253,3.9404,3.9422,13.201,72.335,75.34,1544.9,-0.20498,526.5,0.6431,
52.5,0.1,54.78,0.018255,3.9592,3.961,13.259,72.313,75.342,1545.1,-0.20484,524.35,0.64337,
52.75,0.1,54.774,0.018257,3.9781,3.9799,13.317,72.29,75.343,1545.4,-0.2047,522.21,0.64364,
53,0.1,54.767,0.018259,3.9969,3.9987,13.375,72.268,75.345,1545.6,-0.20456,520.09,0.64391,
53.25,0.1,54.761,0.018261,4.0157,4.0176,13.432,72.246,75.346,1545.8,-0.20442,517.98,0.64418,
53.5,0.1,54.754,0.018263,4.0346,4.0364,13.49,72.224,75.348,1546.1,-0.20428,515.89,0.64444,
53.75,0.1,54.748,0.018266,4.0534,4.0552,13.548,72.201,75.349,1546.3,-0.20414,513.81,0.64471,
54,0.1,54.741,0.018268,4.0722,4.0741,13.605,72.179,75.351,1546.5,-0.204,511.75,0.64497,
54.25,0.1,54.734,0.01827,4.0911,4.0929,13.663,72.157,75.352,1546.7,-0.20386,509.7,0.64524,
54.5,0.1,54.728,0.018272,4.1099,4.1117,13.72,72.134,75.354,1547,-0.20372,507.66,0.6455,
54.75,0.1,54.721,0.018275,4.1288,4.1306,13.778,72.112,75.356,1547.2,-0.20358,505.64,0.64576,
55,0.1,54.714,0.018277,4.1476,4.1494,13.835,72.09,75.357,1547.4,-0.20344,503.62,0.64602,
55.25,0.1,54.708,0.018279,4.1664,4.1683,13.893,72.067,75.359,1547.6,-0.2033,501.63,0.64628,
55.5,0.1,54.701,0.018281,4.1853,4.1871,13.95,72.045,75.36,1547.8,-0.20316,499.64,0.64654,
55.75,0.1,54.694,0.018284,4.2041,4.2059,14.007,72.022,75.362,1548,-0.20302,497.67,0.64679,
56,0.1,54.687,0.018286,4.223,4.2248,14.065,72,75.364,1548.2,-0.20288,495.71,0.64705,
56.25,0.1,54.68,0.018288,4.2418,4.2436,14.122,71.977,75.365,1548.4,-0.20274,493.77,0.6473,
56.5,0.1,54.674,0.01829,4.2606,4.2625,14.179,71.955,75.367,1548.6,-0.20261,491.83,0.64756,
56.75,0.1,54.667,0.018293,4.2795,4.2813,14.236,71.932,75.369,1548.8,-0.20247,489.91,0.64781,
57,0.1,54.66,0.018295,4.2983,4.3001,14.293,71.91,75.371,1549,-0.20233,488,0.64806,
57.25,0.1,54.653,0.018297,4.3172,4.319,14.35,71.887,75.372,1549.1,-0.20219,486.11,0.64831,
